Compound Name,Attrition resistance,Thermal Stability,Average particle size,Particle size distribution,density,rare earth oxides,catalyst surface area,micropore surface area,zeolite surface area,X-ray fluorescence
Compound_592,88.13,877.98,7.39,1.34,1.162,0.42,296.14,69.98,214.16,0.5858
Compound_593,82.19,889.75,2.57,1.8,0.972,3.59,244.21,70.61,345.8,0.8925
Compound_594,81.57,699.27,3.23,2.48,1.073,3.66,221.18,29.09,195.6,0.2813
Compound_595,88.22,670.3,1.18,2.26,1.476,1.71,134.63,10.64,372.1,0.8254
Compound_596,82.93,647.9,8.11,1.73,0.831,3.11,127.23,43.19,407.89,0.8109
Compound_597,88.01,884.15,4.66,2.04,1.139,4.49,276.94,17.87,474.6,0.8255
Compound_598,95.83,660.27,8.25,2.2,1.002,4.76,62.47,23.49,315.03,0.5758
Compound_599,92.9,605.09,9.64,0.59,0.9,0.07,191.71,93.9,366.38,0.8227
Compound_600,80.27,762.6,5.14,1.5,0.851,3.42,175.81,78.86,294.12,0.1494
Compound_601,92.97,651.72,8.85,1.73,0.91,4.81,179.59,16.56,350.73,0.2532
Compound_602,96.07,845.35,9.81,1.5,1.118,3.77,83.12,59.22,318.5,0.0895
Compound_603,88.36,855.99,8.71,0.7,0.864,1.31,268.69,21.6,388.0,0.1012
Compound_604,92.46,706.82,8.1,0.97,1.247,1.18,228.42,88.63,150.72,0.8666
Compound_605,91.87,638.13,4.85,0.82,1.29,3.79,76.45,55.55,425.85,0.9362
Compound_606,90.27,885.08,5.82,1.29,1.394,2.46,167.98,54.13,438.71,0.8319
Compound_607,88.07,699.99,5.43,1.65,0.967,3.97,171.62,40.06,142.73,0.2388
Compound_608,98.99,691.53,2.52,1.42,1.015,0.18,130.79,58.97,320.68,0.3566
Compound_609,88.95,889.66,4.4,1.02,0.97,2.29,239.88,28.54,383.72,0.0211
Compound_610,88.38,832.76,4.05,1.63,0.943,3.71,63.07,86.73,179.28,0.8744
Compound_611,87.05,816.81,3.87,2.31,0.889,0.89,173.26,17.37,178.39,0.9438
Compound_612,99.53,712.88,9.31,1.59,0.989,3.51,214.73,99.02,206.02,0.6721
Compound_613,81.04,634.09,1.04,2.5,1.362,3.93,177.43,37.01,160.51,0.2847
Compound_614,87.52,826.89,5.86,0.65,0.813,0.51,152.62,93.99,354.96,0.8018
Compound_615,89.33,708.5,1.98,2.25,1.348,0.84,178.07,53.86,350.04,0.9462
Compound_616,91.6,762.07,1.45,0.63,0.931,0.16,235.84,75.1,154.42,0.8361
Compound_617,83.1,690.35,3.24,1.24,0.978,2.44,151.85,98.79,122.37,0.1422
Compound_618,81.06,787.75,1.49,2.17,1.158,2.64,190.4,25.37,179.08,0.3188
Compound_619,91.87,663.04,2.05,2.44,0.815,4.01,247.01,36.75,154.25,0.1456
Compound_620,93.95,792.84,8.04,2.37,1.284,0.78,110.86,85.8,183.72,0.0725
Compound_621,94.07,720.76,9.28,1.8,0.863,4.74,114.64,40.35,260.9,0.0512
Compound_622,89.93,637.0,4.61,1.2,1.341,4.02,88.35,42.99,249.34,0.1514
Compound_623,95.97,812.17,2.71,1.23,0.874,3.14,80.34,98.73,412.27,0.3902
Compound_624,91.57,873.4,5.99,0.85,1.065,4.22,211.05,68.57,446.73,0.894
Compound_625,98.4,628.45,5.9,1.98,1.33,3.03,91.7,81.77,388.04,0.0861
Compound_626,89.28,652.19,4.04,0.54,1.08,2.75,204.9,69.71,434.52,0.2155
Compound_627,82.41,855.46,2.41,2.45,1.39,2.5,295.36,18.76,221.23,0.6382
Compound_628,87.0,878.51,1.59,1.6,1.214,3.26,113.92,42.81,437.47,0.1949
Compound_629,96.54,768.8,7.86,1.93,0.945,2.84,266.93,48.89,486.64,0.4522
Compound_630,82.86,716.83,9.57,1.14,1.408,4.41,137.55,17.49,389.82,0.3115
Compound_631,95.66,732.8,5.37,2.06,1.068,2.22,144.05,43.06,310.38,0.8088
Compound_632,87.24,757.28,7.04,1.04,0.994,4.67,230.88,61.95,359.09,0.0293
Compound_633,92.36,752.85,5.91,1.22,0.857,0.97,287.69,46.78,286.67,0.0527
Compound_634,80.75,815.15,5.84,1.52,0.97,3.72,92.06,27.09,284.28,0.2863
Compound_635,84.95,793.57,6.86,2.15,1.092,0.37,118.42,98.2,338.5,0.7097
Compound_636,80.15,755.46,1.34,1.64,1.445,4.84,185.14,51.24,478.01,0.6736
Compound_637,81.3,739.72,3.16,1.44,1.119,2.91,139.19,24.78,301.49,0.8302
Compound_638,93.28,701.51,9.42,2.32,0.947,0.2,235.33,84.48,487.15,0.8898
Compound_639,92.01,759.02,1.25,0.99,1.122,3.14,189.31,76.84,211.91,0.565
Compound_640,81.76,724.1,7.75,1.89,1.493,1.39,174.55,39.66,276.24,0.857
Compound_641,93.68,864.73,2.83,2.25,0.842,4.44,132.27,38.31,304.84,0.9407
Compound_642,80.96,705.67,8.71,1.29,0.939,2.12,146.39,92.39,404.77,0.5051
Compound_643,99.77,739.58,1.52,1.02,1.105,0.78,286.89,79.02,207.31,0.5908
Compound_644,94.43,882.38,8.93,1.53,1.342,2.81,188.18,20.33,150.46,0.5295
Compound_645,85.38,606.31,7.51,0.56,1.217,2.7,292.2,53.58,125.44,0.5517
Compound_646,96.82,899.05,4.87,1.14,1.435,0.96,203.86,46.51,116.43,0.3473
Compound_647,85.3,805.83,9.54,1.04,1.368,0.28,184.53,16.35,473.61,0.7664
Compound_648,93.16,847.17,6.83,2.44,1.3,4.62,179.28,20.54,311.27,0.1269
Compound_649,91.85,744.75,6.6,0.52,0.936,2.46,287.63,44.52,269.75,0.7147
Compound_650,92.08,689.68,4.7,0.94,1.476,0.65,142.96,12.33,188.71,0.7805
Compound_651,84.02,624.02,5.27,0.52,0.859,4.04,242.87,92.36,441.81,0.6832
Compound_652,81.05,834.85,8.61,2.1,1.156,1.16,261.33,75.44,492.3,0.1557
Compound_653,84.51,663.54,8.13,0.87,0.847,4.99,56.2,85.17,246.15,0.8416
Compound_654,91.09,870.49,9.34,0.52,0.853,1.25,217.33,89.94,283.98,0.607
Compound_655,83.77,841.49,9.71,1.04,1.146,0.43,189.78,55.25,157.77,0.4421
Compound_656,86.68,756.55,6.27,0.52,1.333,3.57,141.57,14.76,401.97,0.9552
Compound_657,84.8,697.06,2.65,1.65,0.908,1.78,224.25,60.41,254.59,0.4202
Compound_658,91.24,601.76,1.71,2.26,0.855,3.53,280.01,34.36,248.2,0.5689
Compound_659,97.63,882.57,7.66,0.67,1.268,2.05,167.68,14.42,176.42,0.7905
Compound_660,89.08,690.5,4.46,2.21,1.324,1.36,79.38,32.68,468.3,0.5816
Compound_661,90.67,778.92,4.29,2.11,1.166,0.58,82.27,58.32,474.63,0.3084
Compound_662,97.39,829.23,3.23,0.57,0.871,3.64,99.92,43.41,300.68,0.7255
Compound_663,82.26,721.91,5.37,1.58,1.373,0.86,251.96,72.36,322.35,0.6995
Compound_664,88.24,641.52,6.99,1.55,1.248,1.69,276.72,62.86,134.16,0.4498
Compound_665,95.13,838.24,5.45,2.29,0.987,2.05,274.65,90.66,374.29,0.859
Compound_666,81.78,859.5,3.89,0.86,0.968,2.09,112.8,38.85,153.99,0.2962
Compound_667,91.45,732.56,4.12,1.99,1.425,3.78,133.0,77.0,160.79,0.1303
Compound_668,86.91,842.31,3.22,0.63,0.892,4.29,208.45,32.79,322.12,0.5276
Compound_669,93.11,669.96,8.78,1.12,1.286,0.08,143.16,41.65,317.39,0.0727
Compound_670,95.8,665.33,7.09,2.11,1.193,3.7,215.47,42.0,423.54,0.2947
Compound_671,91.42,823.62,4.41,1.11,1.122,4.09,282.48,59.06,364.59,0.9033
Compound_672,81.97,669.62,7.38,2.15,1.4,2.08,72.33,49.4,192.29,0.2912
Compound_673,95.45,622.66,8.45,1.36,1.217,0.45,134.34,18.07,484.62,0.8073
Compound_674,89.19,667.08,9.4,1.19,0.913,2.82,285.94,10.34,195.25,0.9384
Compound_675,83.42,633.97,6.13,2.22,1.134,4.97,219.79,16.67,497.13,0.4079
Compound_676,85.75,767.36,3.74,0.67,0.801,2.25,259.22,61.51,499.68,0.2868
Compound_677,85.61,647.92,2.48,1.07,1.355,4.53,293.77,30.91,452.52,0.3283
Compound_678,82.26,861.01,6.72,0.83,1.101,1.44,234.2,50.81,495.71,0.0547
Compound_679,87.1,744.57,5.53,1.13,1.31,4.37,284.68,82.46,440.23,0.5505
Compound_680,96.52,691.05,4.59,1.13,1.127,1.43,290.4,38.16,139.22,0.5268
Compound_681,81.14,633.16,2.97,1.43,1.103,4.0,234.87,48.37,233.48,0.3165
Compound_682,95.48,615.62,1.12,2.09,1.134,0.65,108.89,93.93,443.8,0.7098
Compound_683,89.64,756.1,9.78,2.43,0.951,4.06,99.31,29.22,370.44,0.405
Compound_684,98.63,626.7,5.6,2.34,1.433,0.78,141.66,65.72,163.76,0.968
Compound_685,98.29,650.09,2.09,0.67,1.437,0.97,154.07,50.4,339.6,0.0717
Compound_686,84.54,879.45,9.18,2.06,0.814,1.64,206.99,34.77,463.83,0.6339
Compound_687,81.44,872.7,9.62,0.66,1.173,1.52,148.21,26.17,331.23,0.958
Compound_688,90.06,624.87,6.58,1.18,1.399,2.17,98.21,27.2,407.51,0.2656
Compound_689,95.34,661.77,3.9,1.43,1.46,4.66,101.72,42.24,159.76,0.51
Compound_690,89.21,870.23,9.37,1.27,1.144,4.48,251.68,10.33,228.02,0.4218
Compound_691,84.59,659.87,1.34,1.79,0.984,0.26,107.74,82.17,440.6,0.4831
Compound_692,88.32,893.36,2.81,0.93,1.004,0.86,144.84,91.98,346.14,0.4119
Compound_693,98.69,614.54,2.89,1.63,1.231,0.2,150.76,68.42,379.23,0.6381
Compound_694,86.41,628.06,4.84,0.76,1.463,2.38,129.31,78.97,299.18,0.31
Compound_695,96.24,860.15,7.06,0.59,1.196,3.82,84.13,30.58,453.0,0.0201
Compound_696,95.05,742.13,5.02,0.51,1.374,1.8,185.19,70.96,381.05,0.956
Compound_697,90.63,719.92,9.58,1.78,1.009,0.63,260.64,42.6,364.19,0.4708
Compound_698,83.98,780.51,1.55,1.33,1.183,2.18,237.17,84.51,408.5,0.0388
Compound_699,83.88,760.98,9.41,2.17,1.39,1.52,157.36,52.36,162.95,0.0311
Compound_700,98.94,672.21,3.16,0.67,1.45,2.9,216.76,92.04,238.25,0.6215
Compound_701,80.78,656.03,8.48,2.03,1.045,1.88,183.39,10.02,196.5,0.2082
Compound_702,85.01,841.77,3.52,0.88,1.153,4.33,110.34,17.07,242.56,0.7477
Compound_703,91.01,845.04,9.64,2.09,1.223,2.47,60.02,98.59,253.39,0.1522
Compound_704,93.33,685.29,6.27,1.67,1.112,4.18,116.24,50.38,315.08,0.6636
Compound_705,95.68,718.44,6.81,0.8,1.453,1.92,232.38,11.83,182.07,0.4871
Compound_706,97.57,758.18,9.37,1.47,1.143,0.6,250.66,32.23,459.84,0.9108
Compound_707,98.87,756.07,7.09,2.06,0.892,3.0,58.57,54.78,161.94,0.1829
Compound_708,87.3,729.73,6.61,0.65,1.153,0.91,193.49,67.37,322.68,0.7383
Compound_709,86.71,829.53,4.89,1.47,1.254,0.09,213.5,65.67,223.94,0.0858
Compound_710,81.82,876.97,7.2,0.75,1.05,2.96,258.89,13.93,194.65,0.8897
Compound_711,80.18,660.42,9.63,1.73,0.983,0.33,57.05,32.03,452.59,0.4159
Compound_712,94.41,875.49,4.67,0.88,1.162,4.54,251.09,15.92,377.03,0.5719
Compound_713,98.15,636.74,5.81,2.26,1.087,2.41,67.62,35.03,229.8,0.9451
Compound_714,85.65,738.26,7.04,0.82,1.141,3.69,266.71,66.36,367.62,0.1263
Compound_715,98.92,639.77,7.97,1.03,1.454,3.6,238.45,29.72,277.22,0.6178
Compound_716,95.4,631.19,9.66,2.28,0.989,4.11,179.58,51.56,225.77,0.581
Compound_717,94.6,723.28,6.66,1.9,1.298,0.26,264.94,51.24,204.97,0.2418
Compound_718,89.66,866.05,4.41,2.0,0.868,2.38,297.92,79.34,184.21,0.5014
Compound_719,84.67,722.87,8.02,2.04,0.96,4.61,198.14,44.19,300.77,0.6051
Compound_720,91.2,745.92,5.54,0.85,1.369,2.71,82.77,78.95,472.98,0.9473
Compound_721,87.38,640.66,5.67,0.73,1.454,0.92,113.19,46.6,253.27,0.7947
Compound_722,89.13,651.23,3.4,1.52,0.903,3.06,191.44,74.32,475.08,0.9123
Compound_723,98.92,673.41,2.18,1.1,1.427,4.86,264.83,19.9,478.97,0.4234
Compound_724,80.19,732.72,1.41,1.59,1.037,2.37,203.29,88.19,364.76,0.434
Compound_725,96.39,871.67,2.08,1.56,0.999,0.24,217.14,87.65,165.16,0.8124
Compound_726,97.07,874.3,3.39,2.31,1.024,2.76,62.63,13.95,388.15,0.4445
Compound_727,85.13,657.12,7.03,0.5,1.364,0.4,97.87,44.76,293.94,0.355
Compound_728,86.41,889.17,6.77,0.55,1.101,4.38,125.36,18.51,403.35,0.606
Compound_729,91.41,616.07,2.26,1.75,0.945,2.52,186.22,35.52,479.37,0.8425
Compound_730,94.45,623.4,1.96,1.49,0.912,4.89,89.63,53.87,245.65,0.6394
Compound_731,82.58,729.09,3.47,2.28,0.828,4.57,258.25,36.78,415.72,0.0312
Compound_732,99.34,757.98,3.73,1.23,0.846,4.95,59.82,68.94,277.09,0.9489
Compound_733,84.92,759.63,5.34,1.91,0.848,0.97,103.64,76.43,175.66,0.5735
Compound_734,84.3,858.49,9.48,1.54,1.047,1.17,62.45,34.17,361.69,0.5336
Compound_735,98.88,718.88,7.24,1.48,1.159,1.34,163.74,52.37,382.66,0.9406
Compound_736,86.59,612.66,5.47,1.59,0.918,3.8,296.23,95.12,178.84,0.8754
Compound_737,94.09,736.15,5.87,2.2,1.136,1.87,173.31,62.12,175.63,0.9009
Compound_738,93.48,789.98,1.9,1.71,0.885,0.39,181.83,46.25,335.52,0.0892
Compound_739,88.62,652.44,9.88,1.62,1.281,1.63,73.68,97.83,214.5,0.4238
Compound_740,93.0,607.41,8.29,1.57,0.995,0.31,90.62,90.55,374.41,0.2499
Compound_741,81.31,807.18,6.15,1.31,1.055,1.08,217.4,97.36,170.29,0.5971
Compound_742,88.48,734.01,3.29,2.15,1.14,2.72,126.19,26.36,134.36,0.7141
Compound_743,83.92,807.02,4.51,1.33,1.128,1.84,75.15,37.87,365.49,0.6658
Compound_744,85.72,738.03,2.74,0.92,0.816,4.48,102.68,30.48,211.84,0.1274
Compound_745,92.79,622.54,2.21,1.79,1.038,3.54,189.36,33.04,360.33,0.1163
Compound_746,90.73,731.14,3.41,1.71,1.41,4.99,201.94,46.42,190.08,0.2571
Compound_747,89.59,710.18,9.22,1.24,1.061,1.92,259.16,68.57,345.67,0.3341
Compound_748,96.36,611.51,8.84,1.53,1.079,2.49,216.85,11.15,448.62,0.4467
Compound_749,86.86,641.47,4.96,1.49,1.083,3.39,155.22,96.53,339.71,0.8075
Compound_750,82.19,719.19,4.03,1.64,1.403,0.39,68.14,86.53,185.14,0.6688
Compound_751,90.86,849.87,2.13,0.76,1.19,4.73,153.75,39.42,342.68,0.9304
Compound_752,96.74,898.65,1.2,0.73,1.227,4.1,121.31,31.53,414.79,0.0564
Compound_753,87.39,751.74,6.04,1.96,1.048,3.06,196.34,59.29,356.19,0.2594
Compound_754,81.69,635.78,3.02,1.5,1.388,3.51,247.26,41.59,261.86,0.3937
Compound_755,83.84,618.36,6.32,2.48,0.917,0.23,244.88,32.73,431.86,0.7039
Compound_756,98.91,722.68,6.96,1.43,1.241,2.25,97.16,55.71,311.43,0.8106
Compound_757,94.71,799.14,2.02,1.94,1.15,4.47,279.97,14.96,428.26,0.0377
Compound_758,87.34,762.69,2.33,1.99,0.806,0.84,195.2,74.29,466.66,0.7055
Compound_759,93.44,718.3,1.01,0.74,1.174,3.38,154.36,75.76,308.74,0.0742
Compound_760,83.84,852.0,7.52,2.29,0.882,4.95,102.35,11.06,498.97,0.2811
Compound_761,93.36,653.0,6.22,2.31,1.024,3.35,96.98,66.23,234.58,0.2112
Compound_762,86.26,653.65,9.12,1.29,0.972,2.24,130.13,77.0,488.49,0.438
Compound_763,97.22,769.76,2.42,1.88,1.159,3.25,272.42,49.64,460.47,0.7507
Compound_764,89.77,780.97,3.93,2.47,1.267,0.22,131.66,66.1,122.53,0.0239
Compound_765,89.0,699.81,4.94,1.03,0.915,3.45,178.64,28.01,227.84,0.5918
Compound_766,81.44,644.24,1.66,2.12,1.327,3.77,229.08,70.24,290.8,0.6423
Compound_767,80.77,786.44,8.0,1.5,1.05,1.39,210.7,72.35,448.39,0.3423
Compound_768,95.4,768.41,8.95,1.56,1.162,2.89,237.33,96.82,129.43,0.0534
Compound_769,98.75,758.96,6.53,1.46,0.866,3.84,236.81,38.05,222.5,0.8378
Compound_770,81.45,864.33,3.31,1.69,1.455,3.39,153.61,72.06,237.59,0.2773
Compound_771,99.93,825.24,6.8,1.21,0.834,0.16,188.55,78.58,314.95,0.8408
Compound_772,80.67,710.03,3.13,1.39,0.851,4.77,105.81,93.01,270.36,0.9855
Compound_773,91.08,879.25,1.05,2.0,1.432,0.7,74.03,48.21,473.47,0.5424
Compound_774,90.55,642.34,1.01,2.12,0.861,3.17,278.65,28.78,366.11,0.0787
Compound_775,92.08,649.18,7.62,1.1,1.124,3.0,92.82,76.75,221.06,0.6624
Compound_776,83.17,806.44,2.15,1.35,0.973,3.74,115.51,89.35,456.73,0.1964
Compound_777,92.28,626.32,4.52,1.93,1.262,3.12,120.64,44.02,141.18,0.719
Compound_778,90.08,812.63,3.24,1.15,1.034,0.13,135.26,82.3,458.92,0.5182
Compound_779,89.11,609.25,8.91,0.53,1.461,2.45,135.48,93.18,109.76,0.5814
Compound_780,90.98,665.8,4.86,1.8,1.309,0.0,284.21,24.81,193.43,0.2635
Compound_781,80.76,636.92,9.88,1.13,0.881,0.53,229.86,86.91,202.78,0.0209
Compound_782,84.46,616.95,1.93,1.36,0.961,2.58,113.37,94.65,462.38,0.5668
Compound_783,87.09,714.34,4.71,1.96,1.116,4.28,286.02,40.24,324.28,0.0951
Compound_784,84.01,724.04,2.86,2.25,0.911,2.28,201.42,72.27,253.23,0.8691
Compound_785,91.37,731.85,1.61,1.43,1.375,3.07,258.04,54.46,147.38,0.0136
Compound_786,86.06,809.4,8.11,1.09,1.147,2.11,152.63,30.82,154.55,0.1967
Compound_787,81.11,659.44,1.08,1.75,1.021,4.87,98.43,41.12,243.14,0.0085
Compound_788,96.78,609.6,9.46,2.28,1.175,2.72,213.44,44.83,358.89,0.0448
Compound_789,81.08,737.17,5.95,2.28,0.873,4.11,102.51,45.47,226.64,0.4002
Compound_790,83.01,751.07,8.21,1.38,1.143,4.24,226.51,54.14,203.08,0.8849
Compound_791,91.54,666.34,3.42,2.11,0.831,4.96,82.59,81.65,257.91,0.4922
Compound_792,97.61,723.87,5.84,0.6,0.802,1.22,220.15,20.91,145.5,0.411
Compound_793,92.96,813.62,2.61,0.66,1.458,1.3,263.34,87.71,409.01,0.1688
Compound_794,96.44,830.78,6.37,1.17,0.984,0.61,177.44,62.67,243.74,0.4754
Compound_795,87.27,792.3,9.11,0.83,1.067,0.7,206.24,75.6,472.77,0.2789
Compound_796,99.0,618.98,6.43,0.61,1.426,2.65,217.34,84.84,160.12,0.0386
Compound_797,97.58,694.48,2.16,1.44,1.219,0.15,118.72,12.95,268.13,0.8951
Compound_798,99.65,791.11,2.45,2.31,1.161,0.77,280.43,78.17,392.68,0.7092
Compound_799,84.01,663.3,7.19,0.94,1.107,3.91,245.99,50.79,416.88,0.8386
Compound_800,93.1,668.53,3.47,1.13,0.882,1.37,102.38,50.98,463.38,0.1045
Compound_801,94.41,806.18,1.86,2.35,1.198,1.82,239.13,33.16,377.4,0.0397
Compound_802,96.79,734.45,6.73,0.94,1.274,3.86,168.3,65.6,282.53,0.8941
Compound_803,89.96,852.54,8.21,1.32,0.961,2.03,256.55,30.49,309.77,0.8061
Compound_804,87.07,792.66,3.21,0.72,1.356,0.49,117.85,86.96,238.59,0.973
Compound_805,99.59,680.48,1.37,1.91,1.116,0.5,226.88,12.81,448.08,0.1387
Compound_806,82.55,652.7,9.64,1.89,1.361,1.99,134.08,31.1,292.26,0.5518
Compound_807,92.64,677.14,9.54,0.84,1.476,0.07,170.28,40.0,279.65,0.5707
Compound_808,88.71,724.45,7.59,1.87,1.383,1.25,202.38,62.67,247.9,0.4861
Compound_809,86.28,642.55,2.92,0.71,1.278,3.3,287.65,75.67,120.82,0.8842
Compound_810,97.25,733.0,6.27,2.45,1.173,4.53,70.76,27.19,276.3,0.5848
Compound_811,96.32,896.48,4.5,0.59,1.361,3.02,99.64,54.53,396.92,0.7704
Compound_812,89.99,691.56,9.76,1.83,1.086,1.4,232.78,31.8,168.68,0.5298
Compound_813,85.8,788.67,2.06,1.81,0.998,0.0,81.73,94.03,446.94,0.2336
Compound_814,95.57,782.57,9.74,1.25,1.277,0.32,149.06,96.74,315.59,0.2879
Compound_815,82.41,811.06,6.8,1.25,1.466,0.11,125.93,92.9,228.37,0.2523
Compound_816,90.68,847.14,1.93,2.39,1.357,0.91,228.0,44.65,260.92,0.7833
Compound_817,99.26,638.0,4.79,1.46,1.063,1.82,63.07,71.7,274.49,0.1948
Compound_818,96.32,840.77,5.38,1.1,1.247,1.44,109.0,75.75,116.13,0.0948
Compound_819,80.14,645.88,1.62,2.49,1.002,0.75,110.25,94.25,308.06,0.3648
Compound_820,97.47,718.5,4.02,0.91,1.064,1.58,219.33,36.06,330.88,0.0659
Compound_821,83.83,722.22,9.43,1.25,1.265,1.28,81.76,15.27,222.17,0.1577
Compound_822,83.48,828.23,1.14,1.62,1.066,2.53,190.71,38.2,218.04,0.7334
Compound_823,97.43,657.77,1.88,2.3,1.045,2.76,139.89,21.32,335.73,0.5251
Compound_824,84.06,735.56,8.17,1.68,0.868,2.74,225.68,81.34,351.65,0.1527
Compound_825,94.2,803.2,1.22,1.32,1.033,3.35,104.03,63.18,465.28,0.7978
Compound_826,98.43,893.55,1.1,1.75,1.089,4.3,112.95,98.29,345.48,0.7935
Compound_827,81.71,655.04,7.83,0.54,1.372,0.07,214.28,42.86,344.6,0.696
Compound_828,86.85,632.39,1.63,1.68,1.164,3.71,177.43,48.02,259.23,0.0264
Compound_829,86.71,892.81,8.86,1.16,1.211,4.24,160.32,11.62,129.8,0.5104
Compound_830,99.39,807.96,1.64,0.88,1.34,4.21,204.42,68.0,111.33,0.8285
Compound_831,95.77,677.71,7.38,0.93,0.828,1.01,94.66,40.4,267.38,0.5085
Compound_832,89.54,681.2,1.26,1.71,1.077,1.49,266.74,77.21,443.11,0.495
Compound_833,82.62,808.87,2.85,1.38,0.846,4.13,81.49,91.28,445.69,0.4646
Compound_834,94.89,785.83,8.23,1.36,1.35,2.31,285.24,53.77,285.05,0.7851
Compound_835,96.43,766.35,2.62,1.44,1.478,3.76,252.79,12.95,287.14,0.6466
Compound_836,96.6,614.78,8.67,1.6,0.938,1.59,120.48,57.78,120.67,0.1585
Compound_837,96.25,639.78,3.1,1.41,1.162,3.82,161.83,81.09,347.34,0.1131
Compound_838,83.13,731.11,4.57,1.99,1.207,1.94,92.69,30.42,330.2,0.4234
Compound_839,90.3,651.2,6.97,2.21,0.981,2.46,293.88,39.99,338.02,0.0902
Compound_840,92.12,626.89,9.63,1.93,1.352,3.52,197.43,50.49,443.35,0.9568
Compound_841,89.98,879.46,6.25,1.58,1.118,1.05,50.93,31.74,303.89,0.38
Compound_842,88.97,894.19,4.15,1.4,0.893,0.24,243.85,61.36,404.28,0.1499
Compound_843,91.44,676.09,3.05,0.52,0.891,1.55,79.22,98.73,223.45,0.1303
Compound_844,83.98,776.31,1.58,2.22,1.473,1.23,162.52,11.99,356.28,0.4139
Compound_845,85.4,662.05,6.89,1.33,0.926,3.45,191.27,87.28,146.99,0.7857
Compound_846,93.47,634.5,7.25,1.38,1.461,0.71,210.71,44.38,482.73,0.33
Compound_847,99.24,870.45,3.43,2.11,1.497,1.26,159.19,56.82,217.97,0.0153
Compound_848,84.4,684.58,4.99,0.84,1.411,3.52,71.3,68.51,361.46,0.9562
Compound_849,80.06,674.38,9.35,2.36,1.304,3.83,72.87,56.25,192.63,0.1812
Compound_850,96.21,640.51,5.22,2.38,0.93,4.89,298.57,60.01,168.06,0.3161
Compound_851,88.49,692.8,3.53,2.44,0.907,3.67,50.1,63.66,466.38,0.2879
Compound_852,83.71,795.5,7.41,1.88,1.024,1.26,288.98,93.1,282.93,0.8462
Compound_853,89.05,727.32,2.41,1.35,1.176,0.11,161.03,80.32,372.02,0.6352
Compound_854,98.19,605.41,6.01,2.07,1.179,1.62,84.06,89.88,288.3,0.8781
Compound_855,91.72,802.26,8.24,1.82,1.079,2.57,250.76,43.63,255.25,0.0957
Compound_856,98.29,627.31,6.83,1.33,1.084,3.4,66.77,63.43,408.81,0.8282
Compound_857,83.41,869.23,6.91,2.26,1.14,2.71,279.76,90.99,279.26,0.2744
Compound_858,87.86,716.33,3.58,1.04,1.403,0.35,219.4,25.55,237.8,0.0615
Compound_859,85.4,830.53,8.97,0.94,1.124,2.35,268.39,78.65,305.23,0.6707
Compound_860,96.95,602.86,4.63,2.31,1.318,2.71,182.41,41.3,308.21,0.6554
Compound_861,88.37,814.25,8.75,0.81,1.116,2.04,221.87,32.49,356.1,0.8775
Compound_862,88.36,873.3,9.94,0.71,0.963,4.75,289.58,18.79,106.0,0.1611
Compound_863,99.92,654.0,5.52,2.2,0.814,3.02,119.26,87.61,213.38,0.6868
Compound_864,93.48,666.45,1.31,1.32,1.002,4.04,250.09,51.13,342.6,0.6043
Compound_865,96.54,727.5,3.48,1.03,1.175,2.25,160.03,18.2,387.44,0.2137
Compound_866,83.94,723.83,3.05,1.67,1.06,2.24,184.29,28.32,162.3,0.8804
Compound_867,88.67,723.63,1.32,1.5,1.188,2.79,226.76,25.97,200.89,0.8107
Compound_868,98.94,640.78,5.48,0.93,0.842,1.63,85.92,73.89,313.49,0.1438
Compound_869,80.18,842.45,2.59,1.71,1.036,2.93,128.91,17.82,189.18,0.1881
Compound_870,88.56,797.49,3.37,0.52,1.163,3.03,290.72,63.05,288.47,0.5734
Compound_871,98.56,848.51,3.91,0.97,0.984,2.52,236.01,55.29,127.12,0.7236
Compound_872,96.12,686.85,6.98,1.35,1.422,4.23,181.36,72.24,453.34,0.4957
Compound_873,86.27,826.1,2.98,1.28,1.406,3.62,150.95,29.33,242.39,0.2841
Compound_874,83.52,823.0,3.27,1.41,1.07,4.91,147.77,17.2,135.93,0.5908
Compound_875,91.99,725.63,4.89,0.61,1.162,2.52,87.39,19.35,149.43,0.101
Compound_876,92.19,658.94,3.26,0.85,1.47,4.27,107.62,39.48,183.96,0.4919
Compound_877,80.39,801.41,5.71,2.3,0.915,4.02,247.99,21.45,259.42,0.1702
Compound_878,85.09,678.97,6.01,1.32,1.463,0.63,293.42,30.76,409.15,0.339
Compound_879,82.86,857.37,3.78,1.82,1.197,2.36,173.95,75.9,135.11,0.6682
Compound_880,97.92,617.34,2.27,1.93,1.106,2.02,84.24,55.61,150.62,0.4766
Compound_881,95.27,677.48,5.33,2.48,1.281,4.21,153.71,79.11,116.2,0.1229
Compound_882,84.06,720.59,8.61,1.19,1.258,3.55,196.55,42.15,330.82,0.3423
Compound_883,81.68,897.84,2.14,0.64,1.415,1.51,212.57,39.61,256.58,0.2621
Compound_884,86.86,723.21,7.48,1.52,1.46,0.21,175.77,62.58,468.08,0.0492
Compound_885,91.47,856.09,3.18,2.25,0.813,3.66,283.28,69.15,275.61,0.0449
Compound_886,98.4,741.09,1.26,1.88,1.137,0.62,103.57,15.8,329.72,0.622
Compound_887,90.11,845.13,8.75,1.73,0.809,3.48,154.5,60.9,359.63,0.3502
